order,id,parent,implementation_status,eligibility,trigger,required_control,bank,seed_count,epoch_or_stop_rule,measured_seconds_per_update,projected_gpu_hours_low,projected_gpu_hours_central,projected_gpu_hours_high,peak_memory_gib,authorization_status,evidence_sha256,next_command
0,B0,corrected_v2,implemented,completed_existing_evidence,section 3 terminal-evidence gate,none,pilot,1,24 epochs or the frozen stop rule,0.11713,3.9,5.2,6.5,0.07,no run required; dicos-f-02 epoch 90 pending only Stage B metrics,a18a63173beda340,awaiting owner GPU budget
1,S1-axis,B0,implemented,deferred_budget,software implemented; awaiting a GPU budget,B0,pilot,1,24 epochs or the frozen stop rule,0.11713,3.9,5.2,6.5,0.07,not authorized by the current prompt,a18a63173beda340,awaiting owner GPU budget
2,S2-response,S1-axis,implemented,deferred_budget,software implemented; awaiting a GPU budget,B0,pilot,1,24 epochs or the frozen stop rule,0.11713,3.9,5.2,6.5,0.07,not authorized by the current prompt,a18a63173beda340,awaiting owner GPU budget
3,S3-first,S2-response,implemented,deferred_budget,software implemented; awaiting a GPU budget,B0,pilot,1,24 epochs or the frozen stop rule,0.11713,3.9,5.2,6.5,0.07,not authorized by the current prompt,a18a63173beda340,awaiting owner GPU budget
4,S4-activity-span,S3-first,implemented,deferred_budget,software implemented; awaiting a GPU budget,B0,pilot,1,24 epochs or the frozen stop rule,0.11713,3.9,5.2,6.5,0.07,not authorized by the current prompt,a18a63173beda340,awaiting owner GPU budget
5,S4-activity-ar,S3-first,implemented,deferred_budget,software implemented; awaiting a GPU budget,B0,pilot,1,24 epochs or the frozen stop rule,0.11713,3.9,5.2,6.5,0.07,not authorized by the current prompt,a18a63173beda340,awaiting owner GPU budget
6,S5-count-ar,selected_S4,implemented,deferred_budget,software implemented; awaiting a GPU budget,B0,pilot,1,24 epochs or the frozen stop rule,0.11713,3.9,5.2,6.5,0.07,not authorized by the current prompt,a18a63173beda340,awaiting owner GPU budget
7,S6-temp-025,S5-count-ar,implemented,deferred_budget,software implemented; awaiting a GPU budget,B0,pilot,1,24 epochs or the frozen stop rule,0.11713,3.9,5.2,6.5,0.07,not authorized by the current prompt,a18a63173beda340,awaiting owner GPU budget
8,S6-temp-050,S5-count-ar,implemented,deferred_budget,software implemented; awaiting a GPU budget,B0,pilot,1,24 epochs or the frozen stop rule,0.11713,3.9,5.2,6.5,0.07,not authorized by the current prompt,a18a63173beda340,awaiting owner GPU budget
9,S6-temp-100,S5-count-ar,implemented,deferred_budget,software implemented; awaiting a GPU budget,B0,pilot,1,24 epochs or the frozen stop rule,0.11713,3.9,5.2,6.5,0.07,not authorized by the current prompt,a18a63173beda340,awaiting owner GPU budget
